,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0,8,15,33,3,14,18,8,3,19,7,30,11
2,8,0,9,30,9,15,15,10,9,15,13,32,13
3,15,9,0,32,14,20,18,14,14,16,16,36,16
4,33,30,32,0,32,37,19,32,31,23,32,54,25
5,3,9,14,32,0,13,16,6,0,18,7,29,11
6,14,15,20,37,13,0,23,12,13,25,14,25,18
7,18,15,18,19,16,23,0,17,17,8,20,39,15
8,8,10,14,32,6,12,17,0,6,18,13,30,14
9,3,9,14,31,0,13,17,6,0,18,7,29,11
10,19,15,16,23,18,25,8,18,18,0,22,41,18
11,7,13,16,32,7,14,20,13,7,22,0,30,10
12,30,32,36,54,29,25,39,30,29,41,30,0,33
13,11,13,16,25,11,18,15,14,11,18,10,33,0
