,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0,2,116,136,76,28,127,94,113,14,88,118,136,47,97,17,18,76
2,2,0,118,136,76,28,128,95,113,14,88,118,138,48,97,18,19,76
3,116,118,0,70,54,134,16,51,46,120,75,52,19,87,24,107,126,45
4,136,136,70,0,71,151,77,68,23,137,93,43,87,104,46,135,151,97
5,76,76,54,71,0,92,62,29,48,77,21,53,72,45,32,75,92,82
6,28,28,134,151,92,0,144,111,129,16,105,134,154,69,113,42,46,101
7,127,128,16,77,62,144,0,60,56,129,85,61,20,96,34,123,142,61
8,94,95,51,68,29,111,60,0,45,96,32,50,69,63,29,94,111,79
9,113,113,46,23,48,129,56,45,0,114,69,19,64,81,23,112,128,74
10,14,14,120,137,77,16,129,96,114,0,89,119,138,53,98,26,30,85
11,88,88,75,93,21,105,85,32,69,89,0,74,94,57,53,88,104,100
12,118,118,52,43,53,134,61,50,19,119,74,0,69,86,28,117,133,79
13,136,138,19,87,72,154,20,69,64,138,94,69,0,107,44,127,146,65
14,47,48,87,104,45,69,96,63,81,53,57,86,107,0,68,39,57,50
15,97,97,24,46,32,113,34,29,23,98,53,28,44,68,0,96,112,54
16,17,18,107,135,75,42,123,94,112,26,88,117,127,39,96,0,28,66
17,18,19,126,151,92,46,142,111,128,30,104,133,146,57,112,28,0,85
18,76,76,45,97,82,101,61,79,74,85,100,79,65,50,54,66,85,0
