,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,57,7,14,21,21,42,12,7,14,72,55,58,13,53,36,32,52,25,13
2,57,0,62,66,66,72,18,56,53,67,20,30,6,67,98,58,72,92,42,67
3,7,62,0,14,23,20,49,16,13,7,79,61,64,6,55,37,35,56,31,6
4,14,66,14,0,18,11,50,19,17,12,80,63,66,12,49,32,35,55,32,12
5,21,66,23,18,0,15,52,17,23,18,82,64,68,18,46,27,40,61,34,18
6,21,72,20,11,15,0,57,23,25,19,87,70,73,19,42,37,42,63,39,19
7,42,18,49,50,52,57,0,40,37,51,36,31,25,51,82,40,56,77,27,51
8,12,56,16,19,17,23,40,0,12,15,74,56,59,14,52,35,32,53,26,14
9,7,53,13,17,23,25,37,12,0,16,70,52,55,15,55,38,29,50,22,15
10,14,67,7,12,18,19,51,15,16,0,82,64,67,4,54,35,36,57,34,4
11,72,20,79,80,82,87,36,74,70,82,0,38,14,80,112,70,85,106,60,80
12,55,30,61,63,64,70,31,56,52,64,38,0,26,64,89,37,69,89,49,64
13,58,6,64,66,68,73,25,59,55,67,14,26,0,67,99,57,72,93,49,67
14,13,67,6,12,18,19,51,14,15,4,80,64,67,0,52,34,37,58,35,0
15,53,98,55,49,46,42,82,52,55,54,112,89,99,52,0,55,72,93,66,51
16,36,58,37,32,27,37,40,35,38,35,70,37,57,34,55,0,56,76,51,34
17,32,72,35,35,40,42,56,32,29,36,85,69,72,37,72,56,0,28,39,38
18,52,92,56,55,61,63,77,53,50,57,106,89,93,58,93,76,28,0,60,59
19,25,42,31,32,34,39,27,26,22,34,60,49,49,35,66,51,39,60,0,34
20,13,67,6,12,18,19,51,14,15,4,80,64,67,0,51,34,38,59,34,0
